opportunity_id,customer_id,city,state,region,industry,customer_segment,company_size,existing_customer,customer_health_score,account_id,sales_rep_id,sales_team_id,created_date,product_id,product,product_category,lead_source,contract_type,deal_type,new_or_existing_customer,opportunity_amount,discount_percentage,net_deal_value,competitor_present,competitor_name,decision_makers_count,engagement_score,expected_close_date,sales_stage,previous_stage,stage_entry_date,actual_close_date,deal_status,lost_reason,last_activity_date,activity_gap_days,next_follow_up_date,sales_cycle_days,total_opportunity_age_days,days_in_current_stage,quarter,month,year,meeting_count,email_count,call_count,demo_count,follow_up_count,proposal_sent,win_probability,weighted_value,forecast_category,risk_score,risk_level,risk_drivers,recommended_action,health_stage_progression,health_recency,health_age,health_engagement,health_close_plan,health_historical_conversion,health_size_balance,health_next_action,health_score,health_category,forecast_risk_value
1,11837,Kolkata,West Bengal,East,IT Services,Mid-market,354,False,60,11837,45,4,2025-06-26,1,Cloud Enablement,Services,Referral,Multi-year,New business,New,1720259.67,7.48,1591584.25,False,None,2,73.7,2025-10-18,Closed Won,Negotiation,2025-09-30,2025-09-30,Closed Won,,2025-09-16,14,,96.0,96,0,2,6,2025,1,4,0,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
2,1379,Delhi,Delhi,North,Retail,Enterprise,288,False,62,1379,25,3,2023-11-16,2,Workflow Suite,Software,Referral,Project,New business,New,470838.36,2.77,457796.14,True,Competitor A,6,75.4,2024-02-16,Closed Won,Negotiation,2024-05-09,2024-05-09,Closed Won,,2024-04-15,24,,175.0,175,0,4,11,2023,0,4,2,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
3,15719,Bengaluru,Karnataka,South,BFSI,Enterprise,1179,False,45,15719,6,1,2025-08-07,3,Data Advisory,Services,Outbound,Project,New business,New,2191649.88,1.97,2148474.38,False,None,3,71.5,2025-11-04,Closed Won,Negotiation,2026-01-25,2026-01-25,Closed Won,,2026-01-02,23,,171.0,171,0,3,8,2025,0,3,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
4,8781,Delhi,Delhi,North,BFSI,Mid-market,333,False,74,8781,36,3,2026-07-11,4,Security Services,Services,Event,Project,New business,New,550761.68,15.73,464126.87,False,None,4,82.2,2026-10-01,Demo,Discovery,2026-08-27,,Open,,2026-08-30,1,2026-09-02,,51,4,3,7,2026,1,3,0,0,1,False,0.49543899657924745,229946.55075826682,Best Case,0,Low,,,8.333333333333332,12.083333333333334,8.958333333333334,10.275,12.5,6.192987457240593,12.5,12.5,83.3,Healthy,0.0
5,2836,Delhi,Delhi,North,BFSI,SMB,66,False,62,2836,31,3,2026-02-06,1,Cloud Enablement,Services,Inbound,Project,New business,New,163903.12,6.67,152970.78,True,Competitor B,3,90.7,2026-05-04,Closed Lost,Negotiation,2026-05-25,2026-05-25,Closed Lost,Timing,2026-04-06,49,,108.0,108,0,1,2,2026,2,0,0,1,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
6,5289,Mumbai,Maharashtra,West,BFSI,SMB,78,False,47,5289,20,2,2025-10-11,2,Workflow Suite,Software,Inbound,Multi-year,New business,New,336570.61,9.37,305033.94,False,None,1,57.2,2026-02-04,Closed Won,Negotiation,2026-01-05,2026-01-05,Closed Won,,2025-12-24,12,,86.0,86,0,4,10,2025,0,2,0,0,1,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
7,13589,Chennai,Tamil Nadu,South,Retail,SMB,72,False,76,13589,7,1,2025-01-08,4,Security Services,Services,Outbound,Project,New business,New,258431.72,10.37,231632.35,True,Competitor A,1,67.1,2025-04-10,Closed Lost,Qualified,2025-02-07,2025-02-07,Closed Lost,Competitor selected,2025-02-05,2,,30.0,30,0,1,1,2025,0,3,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
8,9920,Jaipur,Rajasthan,North,Retail,Mid-market,279,True,90,9920,35,3,2025-01-07,4,Security Services,Services,Inbound,Project,Expansion,Existing,528766.32,6.15,496247.19,False,None,1,49.5,2025-03-13,Closed Lost,Negotiation,2025-04-19,2025-04-19,Closed Lost,Other,2025-01-22,87,,102.0,102,0,1,1,2025,1,0,0,0,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
9,14573,Mumbai,Maharashtra,West,BFSI,Mid-market,114,False,72,14573,22,2,2025-10-26,2,Workflow Suite,Software,Partner,Multi-year,New business,New,2135933.42,5.03,2028495.97,True,Competitor B,4,42.4,2026-02-19,Closed Lost,Lead,2025-12-04,2025-12-04,Closed Lost,Budget constraints,2025-11-26,8,,39.0,39,0,4,10,2025,2,2,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
10,177,Jaipur,Rajasthan,North,IT Services,SMB,69,False,86,177,27,3,2025-09-22,4,Security Services,Services,Referral,Annual,New business,New,235202.74,6.34,220290.89,False,None,4,90.6,2025-12-09,Closed Won,Negotiation,2026-02-14,2026-02-14,Closed Won,,2026-02-14,0,,145.0,145,0,3,9,2025,0,1,0,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
11,8819,Kolkata,West Bengal,East,IT Services,SMB,61,True,64,8819,46,4,2026-04-20,3,Data Advisory,Services,Inbound,Annual,Renewal,Existing,306295.95,9.64,276769.02,True,Competitor B,1,89.9,2026-07-07,Closed Lost,Negotiation,2026-06-21,2026-06-21,Closed Lost,Competitor selected,2026-06-16,5,,62.0,62,0,2,4,2026,0,0,0,1,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
12,4759,Pune,Maharashtra,West,Healthcare,SMB,104,True,53,4759,21,2,2025-09-11,2,Workflow Suite,Software,Referral,Annual,Renewal,Existing,115237.63,14.43,98608.84,True,Competitor C,1,51.0,2025-11-29,Closed Lost,Discovery,2025-10-27,2025-10-27,Closed Lost,Internal approval delay,2025-10-24,3,,46.0,46,0,3,9,2025,3,1,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
13,12392,Pune,Maharashtra,West,Manufacturing,SMB,125,False,75,12392,19,2,2023-06-21,2,Workflow Suite,Software,Referral,Annual,New business,New,232689.22,6.23,218192.68,False,None,2,66.1,2023-10-02,Closed Lost,Lead,2023-06-30,2023-06-30,Closed Lost,Procurement delay,2023-06-29,1,,9.0,9,0,2,6,2023,0,1,2,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
