period,cutoff,split,model,method,pipeline_weight,actual,forecast,pipeline
2025-09-01,2025-08-31,validation,MA3 + 0% pipeline,MA3,0.0,1013891701.96,1060620898.3966665,1425620443.7139428
2025-09-01,2025-08-31,validation,MA3 + 25% pipeline,MA3,0.25,1013891701.96,1151870784.7259855,1425620443.7139428
2025-09-01,2025-08-31,validation,MA3 + 50% pipeline,MA3,0.5,1013891701.96,1243120671.0553045,1425620443.7139428
2025-09-01,2025-08-31,validation,SES + 0% pipeline,SES,0.0,1013891701.96,1003266855.2768576,1425620443.7139428
2025-09-01,2025-08-31,validation,SES + 25% pipeline,SES,0.25,1013891701.96,1108855252.386129,1425620443.7139428
2025-09-01,2025-08-31,validation,SES + 50% pipeline,SES,0.5,1013891701.96,1214443649.4954002,1425620443.7139428
2025-09-01,2025-08-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,1013891701.96,870345117.24,1425620443.7139428
2025-09-01,2025-08-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,1013891701.96,1009163948.8584857,1425620443.7139428
2025-09-01,2025-08-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,1013891701.96,1147982780.4769714,1425620443.7139428
2025-10-01,2025-09-30,validation,MA3 + 0% pipeline,MA3,0.0,861062855.97,1058080746.4900001,1326804904.0410593
2025-10-01,2025-09-30,validation,MA3 + 25% pipeline,MA3,0.25,861062855.97,1125261785.877765,1326804904.0410593
2025-10-01,2025-09-30,validation,MA3 + 50% pipeline,MA3,0.5,861062855.97,1192442825.2655296,1326804904.0410593
2025-10-01,2025-09-30,validation,SES + 0% pipeline,SES,0.0,861062855.97,1006454309.2818003,1326804904.0410593
2025-10-01,2025-09-30,validation,SES + 25% pipeline,SES,0.25,861062855.97,1086541957.971615,1326804904.0410593
2025-10-01,2025-09-30,validation,SES + 50% pipeline,SES,0.5,861062855.97,1166629606.66143,1326804904.0410593
2025-10-01,2025-09-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,861062855.97,904709223.0,1326804904.0410593
2025-10-01,2025-09-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,861062855.97,1010233143.2602649,1326804904.0410593
2025-10-01,2025-09-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,861062855.97,1115757063.5205297,1326804904.0410593
2025-11-01,2025-10-31,validation,MA3 + 0% pipeline,MA3,0.0,889252733.97,973839360.8000001,1284996032.2147899
2025-11-01,2025-10-31,validation,MA3 + 25% pipeline,MA3,0.25,889252733.97,1051628528.6536975,1284996032.2147899
2025-11-01,2025-10-31,validation,MA3 + 50% pipeline,MA3,0.5,889252733.97,1129417696.507395,1284996032.2147899
2025-11-01,2025-10-31,validation,SES + 0% pipeline,SES,0.0,889252733.97,962836873.2882601,1284996032.2147899
2025-11-01,2025-10-31,validation,SES + 25% pipeline,SES,0.25,889252733.97,1043376663.0198926,1284996032.2147899
2025-11-01,2025-10-31,validation,SES + 50% pipeline,SES,0.5,889252733.97,1123916452.751525,1284996032.2147899
2025-11-01,2025-10-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,889252733.97,786211739.42,1284996032.2147899
2025-11-01,2025-10-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,889252733.97,910907812.6186974,1284996032.2147899
2025-11-01,2025-10-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,889252733.97,1035603885.817395,1284996032.2147899
2025-12-01,2025-11-30,validation,MA3 + 0% pipeline,MA3,0.0,769153099.2,921402430.6333333,1188007447.4119172
2025-12-01,2025-11-30,validation,MA3 + 25% pipeline,MA3,0.25,769153099.2,988053684.8279793,1188007447.4119172
2025-12-01,2025-11-30,validation,MA3 + 50% pipeline,MA3,0.5,769153099.2,1054704939.0226252,1188007447.4119172
2025-12-01,2025-11-30,validation,SES + 0% pipeline,SES,0.0,769153099.2,940761631.492782,1188007447.4119172
2025-12-01,2025-11-30,validation,SES + 25% pipeline,SES,0.25,769153099.2,1002573085.4725658,1188007447.4119172
2025-12-01,2025-11-30,validation,SES + 50% pipeline,SES,0.5,769153099.2,1064384539.4523497,1188007447.4119172
2025-12-01,2025-11-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,769153099.2,790465268.68,1188007447.4119172
2025-12-01,2025-11-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,769153099.2,889850813.3629793,1188007447.4119172
2025-12-01,2025-11-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,769153099.2,989236358.0459585,1188007447.4119172
2026-01-01,2025-12-31,validation,MA3 + 0% pipeline,MA3,0.0,768844609.18,839822896.3800001,1242613903.394411
2026-01-01,2025-12-31,validation,MA3 + 25% pipeline,MA3,0.25,768844609.18,940520648.1336029,1242613903.394411
2026-01-01,2025-12-31,validation,MA3 + 50% pipeline,MA3,0.5,768844609.18,1041218399.8872056,1242613903.394411
2026-01-01,2025-12-31,validation,SES + 0% pipeline,SES,0.0,768844609.18,889279071.8049474,1242613903.394411
2026-01-01,2025-12-31,validation,SES + 25% pipeline,SES,0.25,768844609.18,977612779.7023133,1242613903.394411
2026-01-01,2025-12-31,validation,SES + 50% pipeline,SES,0.5,768844609.18,1065946487.5996792,1242613903.394411
2026-01-01,2025-12-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,768844609.18,751182411.02,1242613903.394411
2026-01-01,2025-12-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,768844609.18,874040284.1136028,1242613903.394411
2026-01-01,2025-12-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,768844609.18,996898157.2072055,1242613903.394411
2026-02-01,2026-01-31,validation,MA3 + 0% pipeline,MA3,0.0,772179065.38,809083480.7833333,1171143556.4820998
2026-02-01,2026-01-31,validation,MA3 + 25% pipeline,MA3,0.25,772179065.38,899598499.708025,1171143556.4820998
2026-02-01,2026-01-31,validation,MA3 + 50% pipeline,MA3,0.5,772179065.38,990113518.6327165,1171143556.4820998
2026-02-01,2026-01-31,validation,SES + 0% pipeline,SES,0.0,772179065.38,853148733.0174631,1171143556.4820998
2026-02-01,2026-01-31,validation,SES + 25% pipeline,SES,0.25,772179065.38,932647438.8836222,1171143556.4820998
2026-02-01,2026-01-31,validation,SES + 50% pipeline,SES,0.5,772179065.38,1012146144.7497814,1171143556.4820998
2026-02-01,2026-01-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,772179065.38,707570200.16,1171143556.4820998
2026-02-01,2026-01-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,772179065.38,823463539.240525,1171143556.4820998
2026-02-01,2026-01-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,772179065.38,939356878.3210499,1171143556.4820998
2026-03-01,2026-02-28,test,MA3 + 0% pipeline,MA3,0.0,993332303.81,770058924.5866667,1405645764.0164557
2026-03-01,2026-02-28,test,MA3 + 25% pipeline,MA3,0.25,993332303.81,928955634.444114,1405645764.0164557
2026-03-01,2026-02-28,test,MA3 + 50% pipeline,MA3,0.5,993332303.81,1087852344.301561,1405645764.0164557
2026-03-01,2026-02-28,test,SES + 0% pipeline,SES,0.0,993332303.81,828857832.7262241,1405645764.0164557
2026-03-01,2026-02-28,test,SES + 25% pipeline,SES,0.25,993332303.81,973054815.548782,1405645764.0164557
2026-03-01,2026-02-28,test,SES + 50% pipeline,SES,0.5,993332303.81,1117251798.3713398,1405645764.0164557
2026-03-01,2026-02-28,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,993332303.81,806194796.07,1405645764.0164557
2026-03-01,2026-02-28,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,993332303.81,956057538.0566139,1405645764.0164557
2026-03-01,2026-02-28,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,993332303.81,1105920280.043228,1405645764.0164557
2026-04-01,2026-03-31,test,MA3 + 0% pipeline,MA3,0.0,963616912.66,844785326.1233333,1402160974.0144424
2026-04-01,2026-03-31,test,MA3 + 25% pipeline,MA3,0.25,963616912.66,984129238.0961106,1402160974.0144424
