check,affected_records,total_records,percentage,phase
missing_key_fields,2012,201200,1.0,raw
duplicate_opportunity,1200,201200,0.5964214711729622,raw
invalid_record,3015,201200,1.4985089463220675,raw
amount_outlier,1002,201200,0.4980119284294235,raw
date_inconsistency,2971,201200,1.4766401590457257,raw
missing_industry,1005,201200,0.4995029821073559,raw
missing_rep,1007,201200,0.5004970178926441,raw
missing_key_fields,0,198000,0.0,clean
duplicate_opportunity,0,198000,0.0,clean
invalid_record,0,198000,0.0,clean
amount_outlier,0,198000,0.0,clean
date_inconsistency,0,198000,0.0,clean
missing_industry,0,198000,0.0,clean
missing_rep,0,198000,0.0,clean
