period,forecast,lower,upper,historical_baseline,pipeline_contribution,weighted_pipeline_component,baseline_component,closed_won_contribution,model,confidence_indicator,target,gap_to_target,expected_attainment,forecast_variance
2026-09-01,1013891701.96,910850707.41,1116932696.5100002,1013891701.96,1593476216.6106079,0.0,1013891701.96,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,178432266.03999996,0.8503491745290488,
2026-10-01,861062855.97,715340883.9969778,1006784827.9430223,861062855.97,999544242.979183,0.0,861062855.97,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,331261112.03,0.7221718921027344,
2026-11-01,889252733.97,710780496.1469722,1067724971.7930279,889252733.97,874054596.0056921,0.0,889252733.97,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,303071234.03,0.745814692848647,
2026-12-01,769153099.2,563071110.0999999,975235088.3000002,769153099.2,511700567.4557656,0.0,769153099.2,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,423170868.79999995,0.6450873418993454,
2027-01-01,768844609.18,538437940.8970144,999251277.4629855,768844609.18,192733710.22150025,0.0,768844609.18,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,423479358.82000005,0.6448286118659992,
2027-02-01,772179065.38,519781206.1435975,1024576924.6164025,772179065.38,61056594.81408373,0.0,772179065.38,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,420144902.62,0.6476252143746221,
2027-03-01,993332303.81,720711457.3859379,1265953150.234062,993332303.81,14768531.230196206,0.0,993332303.81,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,198991664.19000006,0.8331060437174739,
2027-04-01,963616912.66,672172968.7139554,1255060856.6060445,963616912.66,3720328.0167521937,0.0,963616912.66,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,228707055.34000003,0.8081837977947953,
2027-05-01,1212283893.57,903160909.9199997,1521406877.2200003,1212283893.57,0.0,0.0,1212283893.57,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,-19959925.569999933,1.0167403542205737,
2027-06-01,1219653808.76,893809573.613003,1545498043.906997,1219653808.76,0.0,0.0,1219653808.76,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,-27329840.75999999,1.0229214890361074,
2027-07-01,1272541567.25,930793250.3025942,1614289884.1974058,1272541567.25,0.0,0.0,1272541567.25,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,-80217599.25,1.0672783584016656,
2027-08-01,1240472300.05,883527824.4039441,1597416775.696056,1240472300.05,0.0,0.0,1240472300.05,0.0,Seasonal naive + 0% pipeline,"Indicative range; 6 calibration origins, uncalibrated long horizon",1192323968.0,-48148332.04999995,1.040381920805269,
