model,split,mae,rmse,wape,mape,bias_inr,bias_pct,zero_actual_months,selected
MA3 + 0% pipeline,test,159043018.3172222,183483431.71189544,0.13826018939958537,0.14110567256197984,-159043018.3172222,-0.13826018939958537,0,False
MA3 + 0% pipeline,validation,98077624.63722223,113823164.36403258,0.11596791654097914,0.11801209176748967,98077624.63722223,0.11596791654097914,0,False
MA3 + 25% pipeline,test,58000231.112672664,75990786.50141643,0.050421093762589166,0.050045324941467184,-6430538.955143829,-0.005590233028061952,0,False
MA3 + 25% pipeline,validation,180424977.71117583,186561447.21782604,0.21333621031821778,0.2164031184224295,180424977.71117583,0.21333621031821778,0,False
MA3 + 50% pipeline,test,146181940.40693456,158225683.1197951,0.1270797233434615,0.12710532597846783,146181940.40693456,0.1270797233434615,0,False
MA3 + 50% pipeline,validation,262772330.7851294,265600130.06970018,0.31070450409545636,0.3147941450773693,262772330.7851294,0.31070450409545636,0,False
SES + 0% pipeline,test,184199521.34392247,198407777.18261197,0.1601293849788935,0.15805419509064353,-184199521.34392247,-0.1601293849788935,0,False
SES + 0% pipeline,validation,100435516.97806586,113413860.73663326,0.11875591087920859,0.12444907203500884,96893901.4170184,0.1145682709427504,0,False
SES + 25% pipeline,test,52572386.30668547,63729225.32442347,0.04570252856653314,0.04521718800525675,-25297916.225169044,-0.02199212971254308,0,False
SES + 25% pipeline,validation,179537185.29602298,185935573.41383216,0.21228647611954626,0.2186110356823058,179537185.29602298,0.21228647611954626,0,False
SES + 50% pipeline,test,133603688.89358439,141072255.72368902,0.11614512555380738,0.11863106471413597,133603688.89358439,0.11614512555380738,0,False
SES + 50% pipeline,validation,262180469.17502752,265102028.26961312,0.31000468129634207,0.31626608991728694,262180469.17502752,0.31000468129634207,0,False
Seasonal naive + 0% pipeline,test,162371923.52999997,166766836.4999845,0.14115409238307824,0.14091361304026576,-162371923.52999997,-0.14115409238307824,0,True
Seasonal naive + 0% pipeline,validation,65636196.52666666,79653982.08747448,0.07760886327566104,0.07374904563076702,-43983351.02333337,-0.05200633273423225,0,True
Seasonal naive + 25% pipeline,test,24527050.613574326,28362403.488039374,0.021321996395228065,0.022804852940422202,-8927217.8647272,-0.007760660265681647,0,False
Seasonal naive + 25% pipeline,validation,75455163.66626394,92201983.14839876,0.08921890344512169,0.0937359814125938,73879245.96575916,0.08735552336180928,0,False
Seasonal naive + 50% pipeline,test,144517487.80054566,146068355.602297,0.12563277185171504,0.12720135573932487,144517487.80054566,0.12563277185171504,0,False
Seasonal naive + 50% pipeline,validation,191741842.95485166,196918637.63007253,0.22671737945785078,0.23197983675463393,191741842.95485166,0.22671737945785078,0,False
