period,cutoff,split,model,method,pipeline_weight,actual,forecast,pipeline,region,selected
2025-09-01,2025-08-31,validation,MA3 + 0% pipeline,MA3,0.0,243180117.71,274316408.34999996,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,MA3 + 25% pipeline,MA3,0.25,243180117.71,291184575.51750255,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,MA3 + 50% pipeline,MA3,0.5,243180117.71,308052742.6850052,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,SES + 0% pipeline,SES,0.0,243180117.71,253409493.4388274,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,SES + 25% pipeline,SES,0.25,243180117.71,275504389.33412313,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,SES + 50% pipeline,SES,0.5,243180117.71,297599285.2294189,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,243180117.71,228840903.93,341789077.02001035,East,False
2025-09-01,2025-08-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,243180117.71,257077947.20250258,341789077.02001035,East,True
2025-09-01,2025-08-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,243180117.71,285314990.47500515,341789077.02001035,East,False
2025-10-01,2025-09-30,validation,MA3 + 0% pipeline,MA3,0.0,193273704.69,261533282.88333336,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,MA3 + 25% pipeline,MA3,0.25,193273704.69,274185004.7807127,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,MA3 + 50% pipeline,MA3,0.5,193273704.69,286836726.6780921,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,SES + 0% pipeline,SES,0.0,193273704.69,250340680.72017917,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,SES + 25% pipeline,SES,0.25,193273704.69,265790553.1583471,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,SES + 50% pipeline,SES,0.5,193273704.69,281240425.59651506,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,193273704.69,218423602.43,312140170.4728509,East,False
2025-10-01,2025-09-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,193273704.69,241852744.44071272,312140170.4728509,East,True
2025-10-01,2025-09-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,193273704.69,265281886.45142546,312140170.4728509,East,False
2025-11-01,2025-10-31,validation,MA3 + 0% pipeline,MA3,0.0,218104084.06,221586823.19666663,307114334.594523,East,False
2025-11-01,2025-10-31,validation,MA3 + 25% pipeline,MA3,0.25,218104084.06,242968701.04613072,307114334.594523,East,False
2025-11-01,2025-10-31,validation,MA3 + 50% pipeline,MA3,0.5,218104084.06,264350578.89559484,307114334.594523,East,False
2025-11-01,2025-10-31,validation,SES + 0% pipeline,SES,0.0,218104084.06,233220587.91112542,307114334.594523,East,False
2025-11-01,2025-10-31,validation,SES + 25% pipeline,SES,0.25,218104084.06,251694024.5819748,307114334.594523,East,False
2025-11-01,2025-10-31,validation,SES + 50% pipeline,SES,0.5,218104084.06,270167461.2528242,307114334.594523,East,False
2025-11-01,2025-10-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,218104084.06,199260170.94,307114334.594523,East,False
2025-11-01,2025-10-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,218104084.06,226223711.85363072,307114334.594523,East,True
2025-11-01,2025-10-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,218104084.06,253187252.7672615,307114334.594523,East,False
2025-12-01,2025-11-30,validation,MA3 + 0% pipeline,MA3,0.0,190327837.53,218185968.82000002,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,MA3 + 25% pipeline,MA3,0.25,190327837.53,235402992.58455783,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,MA3 + 50% pipeline,MA3,0.5,190327837.53,252620016.3491156,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,SES + 0% pipeline,SES,0.0,190327837.53,228685636.7557878,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,SES + 25% pipeline,SES,0.25,190327837.53,243277743.53639865,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,SES + 50% pipeline,SES,0.5,190327837.53,257869850.3170095,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,190327837.53,210135058.41,287054063.8782312,East,False
2025-12-01,2025-11-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,190327837.53,229364809.77705783,287054063.8782312,East,True
2025-12-01,2025-11-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,190327837.53,248594561.14411563,287054063.8782312,East,False
2026-01-01,2025-12-31,validation,MA3 + 0% pipeline,MA3,0.0,189863125.85999998,200568542.09333333,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,MA3 + 25% pipeline,MA3,0.25,189863125.85999998,229866028.94548467,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,MA3 + 50% pipeline,MA3,0.5,189863125.85999998,259163515.79763603,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,SES + 0% pipeline,SES,0.0,189863125.85999998,217178296.98805144,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,SES + 25% pipeline,SES,0.25,189863125.85999998,242323345.11652327,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,SES + 50% pipeline,SES,0.5,189863125.85999998,267468393.24499506,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,189863125.85999998,162710102.88,317758489.5019387,East,False
2026-01-01,2025-12-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,189863125.85999998,201472199.53548467,317758489.5019387,East,True
2026-01-01,2025-12-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,189863125.85999998,240234296.19096935,317758489.5019387,East,False
2026-02-01,2026-01-31,validation,MA3 + 0% pipeline,MA3,0.0,214011662.73,199431682.48333335,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,MA3 + 25% pipeline,MA3,0.25,214011662.73,222238433.9122094,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,MA3 + 50% pipeline,MA3,0.5,214011662.73,245045185.34108546,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,SES + 0% pipeline,SES,0.0,214011662.73,208983745.649636,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,SES + 25% pipeline,SES,0.25,214011662.73,229402481.2869364,290658688.1988376,East,False
